PART NUMBER,PART NAME,CATEGORY,LOCATION,CURRENT STOCK,REORDER POINT,SAFETY STOCK,REORDER QTY,AVG DAILY USAGE,LEAD TIME DAYS,VENDOR,UNIT COST,LAST ORDER DATE,STOCKOUT DAYS,REORDER TRIGGERED,RECOMMENDED ORDER QTY,EXPECTED REPLENISHMENT DATE,STATUS FLAG,DAYS SINCE LAST ORDER,REORDER RISK LEVEL,SUPPLY GAP FLAG,DAYS TO REORDER,DEMAND CLASSIFICATION,INVENTORY VALUE,COVERAGE DAYS POST REORDER,VENDOR RISK FLAG,DAYS SINCE LAST ORDER (CALC),LATE REPLENISHMENT FLAG,Below Reorder,Stockout Item,Late Replenishment Numeric
AST-8380,Fuel Injection Sensor,Navigation,FLT-WH3,224,59,70,79,1,6,Kwimbee,1081,2025-02-18,224,No,0,2025-04-08,SAFE,1900-02-12,LOW,OK,165,Low,242066,79,Standard,56,TRUE,0,1,1
AST-5428,Radiation Shielding Unit,Navigation,TX-WH4,135,63,46,165,2,20,Voolith,806,2024-11-03,68,No,0,2025-04-22,SAFE,1900-05-29,LOW,OK,36,Low,108763,82,Standard,163,FALSE,0,1,0
AST-1884,Fuel Injection Sensor,Payload Bay,ORB-WH2,35,106,46,140,13,26,Skiba,889,2024-08-26,3,Yes,140,2025-04-28,CRITICAL,1900-08-06,HIGH,UNDERORDERED,-5,Medium,31124,11,High Risk,232,FALSE,1,1,0
AST-8097,Pressurized Cabin Ring,Guidance,HQ-WH1,160,92,63,146,3,11,Ntag,1472,2024-11-14,53,No,0,2025-04-13,SAFE,1900-05-18,LOW,OK,23,Low,235552,49,Standard,152,TRUE,0,1,1
AST-1305,Gyroscopic Stabilizer,Thermal,FLT-WH3,219,147,61,103,9,12,Feedfish,900,2024-11-05,24,No,0,2025-04-14,SAFE,1900-05-27,LOW,UNDERORDERED,8,Medium,197153,11,Standard,161,TRUE,0,1,1
AST-0717,Navigation Core Processor,Avionics,AZ-WH5,214,133,70,171,5,30,Mynte,333,2024-09-25,43,No,0,2025-05-02,SAFE,1900-07-07,LOW,OK,16,Low,71348,34,High Risk,202,FALSE,0,1,0
AST-3917,Fuel Injection Sensor,Ground Support,TX-WH4,7,65,26,122,18,5,Realblab,1312,2024-10-28,0,Yes,122,2025-04-07,CRITICAL,1900-06-04,HIGH,OK,-3,High,9187,7,Standard,169,TRUE,1,0,1
AST-2035,Gyroscopic Stabilizer,Flight Control,FLT-WH3,68,65,62,146,8,15,Topicware,614,2025-03-19,8,No,0,2025-04-17,SAFE,1900-01-14,LOW,OK,0,Medium,41718,18,Standard,27,FALSE,0,1,0
AST-5191,Composite Tank Latch,Payload Bay,AZ-WH5,207,128,33,167,1,18,Meembee,1311,2024-08-27,207,No,0,2025-04-20,SAFE,1900-08-05,LOW,OK,79,Low,271294,167,Standard,231,FALSE,0,1,0
AST-5398,Navigation Core Processor,Propulsion,ORB-WH2,24,137,48,128,14,18,Trunyx,422,2024-04-15,2,Yes,128,2025-04-20,CRITICAL,1900-12-17,HIGH,UNDERORDERED,-8,Medium,10125,9,Standard,365,FALSE,1,1,0
AST-5404,Atmospheric Regulator Coil,Thermal,FLT-WH3,90,59,40,182,12,18,Rhycero,770,2024-08-20,8,No,0,2025-04-20,SAFE,1900-08-12,LOW,UNDERORDERED,3,Medium,69302,15,Standard,238,FALSE,0,1,0
AST-6976,Composite Tank Latch,Navigation,AZ-WH5,90,101,62,101,16,10,Demivee,577,2024-06-03,6,Yes,101,2025-04-12,LOW,1900-10-29,LOW,UNDERORDERED,-1,High,51974,6,Standard,316,TRUE,1,1,1
AST-7679,Pressurized Cabin Ring,Payload Bay,HQ-WH1,88,138,39,112,2,22,Zazio,610,2024-07-01,44,Yes,112,2025-04-24,SAFE,1900-10-01,LOW,OK,-25,Low,53698,56,High Risk,288,FALSE,1,1,0
AST-6162,Radiation Shielding Unit,Structural,AZ-WH5,108,68,42,200,7,19,Thoughtmix,567,2025-02-11,15,No,0,2025-04-21,SAFE,1900-02-19,LOW,OK,6,Medium,61204,29,Standard,63,FALSE,0,1,0
AST-0099,Orbital Thruster Valve,Guidance,FLT-WH3,172,118,56,168,7,13,Blogtag,1016,2024-11-17,25,No,0,2025-04-15,SAFE,1900-05-15,LOW,OK,8,Medium,174737,24,Standard,149,FALSE,0,1,0
AST-5012,Pressurized Cabin Ring,Power Systems,FLT-WH3,120,62,40,62,2,9,Teklist,678,2024-05-21,60,No,0,2025-04-11,SAFE,1900-11-11,LOW,OK,29,Low,81328,31,Standard,329,TRUE,0,1,1
AST-0412,Orbital Thruster Valve,Flight Control,TX-WH4,62,92,48,95,6,15,Eazzy,1112,2024-06-29,10,Yes,95,2025-04-17,SAFE,1900-10-03,LOW,OK,-5,Low,68944,16,Standard,290,FALSE,1,1,0
AST-1799,Atmospheric Regulator Coil,Avionics,ORB-WH2,131,148,25,82,2,8,Avaveo,980,2025-01-03,66,Yes,82,2025-04-10,SAFE,1900-03-29,LOW,OK,-8,Low,128408,41,Standard,102,TRUE,1,1,1
AST-3271,Payload Release Clamp,Ground Support,FLT-WH3,191,76,50,96,12,27,Kimia,940,2025-02-05,16,No,0,2025-04-29,SAFE,1900-02-25,LOW,UNDERORDERED,10,Medium,179551,8,High Risk,69,FALSE,0,1,0
AST-9284,Atmospheric Regulator Coil,Avionics,FLT-WH3,9,78,30,73,14,5,Eadel,1097,2024-03-31,1,Yes,73,2025-04-07,CRITICAL,1901-01-01,HIGH,OK,-5,Medium,9869,5,Standard,380,TRUE,1,1,1
AST-4529,Aerofoil Bracket,Flight Control,TX-WH4,117,150,51,65,20,14,Browsecat,1375,2024-06-19,6,Yes,65,2025-04-16,LOW,1900-10-13,LOW,UNDERORDERED,-2,High,160904,3,Standard,300,FALSE,1,1,0
AST-9372,Radiation Shielding Unit,Ground Support,ORB-WH2,153,125,41,81,14,15,Feedbug,1097,2024-06-22,11,No,0,2025-04-17,SAFE,1900-10-10,LOW,UNDERORDERED,2,Medium,167905,6,Standard,297,FALSE,0,1,0
AST-4300,Orbital Thruster Valve,Payload Bay,FLT-WH3,219,69,28,103,16,20,Photobug,272,2024-06-26,14,No,0,2025-04-22,SAFE,1900-10-06,LOW,UNDERORDERED,9,High,59522,6,Standard,293,FALSE,0,1,0
AST-3712,Flight Control Harness,Power Systems,FLT-WH3,164,119,63,138,18,22,Brainlounge,884,2024-04-28,9,No,0,2025-04-24,SAFE,1900-12-04,LOW,UNDERORDERED,2,High,144905,8,High Risk,352,FALSE,0,1,0
AST-7271,Flight Control Harness,Payload Bay,HQ-WH1,196,103,45,64,10,29,Einti,1236,2025-02-16,20,No,0,2025-05-01,SAFE,1900-02-14,LOW,UNDERORDERED,9,Medium,242325,6,High Risk,58,FALSE,0,1,0
AST-5048,Wing Panel Fastener,Navigation,ORB-WH2,33,116,57,122,1,16,Roomm,1061,2024-06-08,33,Yes,122,2025-04-18,SAFE,1900-10-24,LOW,OK,-83,Low,35016,122,Standard,311,FALSE,1,1,0
AST-8932,Fuel Injection Sensor,Payload Bay,HQ-WH1,144,107,51,89,14,13,Skynoodle,1065,2024-12-04,10,No,0,2025-04-15,SAFE,1900-04-28,LOW,UNDERORDERED,3,Medium,153357,6,Standard,132,FALSE,0,1,0
AST-7265,Orbital Thruster Valve,Avionics,ORB-WH2,200,114,26,111,13,22,Jabbertype,1071,2024-12-02,15,No,0,2025-04-24,SAFE,1900-04-30,LOW,UNDERORDERED,7,Medium,214128,9,High Risk,134,FALSE,0,1,0
AST-3607,Composite Tank Latch,Ground Support,HQ-WH1,174,102,60,113,10,16,Innotype,322,2024-10-20,17,No,0,2025-04-18,SAFE,1900-06-12,LOW,UNDERORDERED,7,Medium,55993,11,Standard,177,FALSE,0,1,0
AST-7840,Aerofoil Bracket,Payload Bay,ORB-WH2,56,137,63,59,12,22,Oyoloo,836,2025-01-12,5,Yes,59,2025-04-24,LOW,1900-03-20,HIGH,UNDERORDERED,-7,Medium,46826,5,High Risk,93,FALSE,1,1,0
AST-7582,Composite Tank Latch,Navigation,FLT-WH3,112,78,55,180,13,6,Kazu,1120,2024-07-24,9,No,0,2025-04-08,SAFE,1900-09-08,LOW,OK,3,Medium,125429,14,Standard,265,TRUE,0,1,1
AST-6873,Wing Panel Fastener,Navigation,ORB-WH2,198,143,58,121,10,6,Jaxnation,677,2024-07-19,20,No,0,2025-04-08,SAFE,1900-09-13,LOW,OK,6,Medium,134115,12,Standard,270,TRUE,0,1,1
AST-9979,Orbital Thruster Valve,Navigation,FLT-WH3,121,121,65,111,20,17,Demizz,445,2025-01-29,6,Yes,111,2025-04-19,LOW,1900-03-03,LOW,UNDERORDERED,0,High,53793,6,Standard,76,FALSE,0,1,0
AST-5633,Aerofoil Bracket,Propulsion,AZ-WH5,26,89,43,119,8,11,Edgewire,1116,2024-12-28,3,Yes,119,2025-04-13,LOW,1900-04-04,HIGH,OK,-8,Medium,29016,15,Standard,108,TRUE,1,1,1
AST-7350,Pressurized Cabin Ring,Avionics,ORB-WH2,130,94,25,176,14,18,Layo,1407,2025-01-22,9,No,0,2025-04-20,SAFE,1900-03-10,LOW,UNDERORDERED,3,Medium,182896,13,Standard,83,FALSE,0,1,0
AST-0799,Gyroscopic Stabilizer,Power Systems,HQ-WH1,56,103,71,73,10,11,Zava,1033,2024-09-05,6,Yes,73,2025-04-13,LOW,1900-07-27,LOW,UNDERORDERED,-5,Medium,57872,7,Standard,222,TRUE,1,1,1
AST-9237,Wing Panel Fastener,Avionics,TX-WH4,174,106,65,97,3,14,Browsebug,1248,2025-01-31,58,No,0,2025-04-16,SAFE,1900-03-01,LOW,OK,23,Low,217159,32,Standard,74,FALSE,0,1,0
AST-8875,Flight Control Harness,Thermal,AZ-WH5,10,53,49,126,12,18,Gabtune,1396,2024-12-26,1,Yes,126,2025-04-20,CRITICAL,1900-04-06,HIGH,UNDERORDERED,-4,Medium,13964,10,Standard,110,FALSE,1,1,0
AST-4788,Flight Control Harness,Guidance,HQ-WH1,13,145,65,96,15,23,Vidoo,320,2024-04-23,1,Yes,96,2025-04-25,CRITICAL,1900-12-09,HIGH,UNDERORDERED,-9,High,4164,6,High Risk,357,FALSE,1,1,0
AST-6440,Wing Panel Fastener,Thermal,FLT-WH3,80,150,29,163,18,28,Meejo,261,2024-12-03,4,Yes,163,2025-04-30,LOW,1900-04-29,HIGH,UNDERORDERED,-4,High,20900,9,High Risk,133,FALSE,1,1,0
AST-3064,Navigation Core Processor,Avionics,ORB-WH2,57,122,70,65,19,27,Devbug,740,2025-03-16,3,Yes,65,2025-04-29,LOW,1900-01-17,MODERATE,UNDERORDERED,-3,High,42185,3,High Risk,30,FALSE,1,1,0
AST-9349,Payload Release Clamp,Navigation,ORB-WH2,55,110,45,193,6,23,Digitube,696,2024-04-18,9,Yes,193,2025-04-25,SAFE,1900-12-14,LOW,OK,-9,Low,38295,32,High Risk,362,FALSE,1,1,0
AST-7141,Wing Panel Fastener,Guidance,ORB-WH2,31,150,33,62,2,13,Mynte,1464,2024-12-06,16,Yes,62,2025-04-15,SAFE,1900-04-26,LOW,OK,-60,Low,45398,31,Standard,130,FALSE,1,1,0
AST-2428,Wing Panel Fastener,Payload Bay,AZ-WH5,45,103,36,114,13,11,Realfire,406,2024-05-16,3,Yes,114,2025-04-13,LOW,1900-11-16,HIGH,UNDERORDERED,-4,Medium,18260,9,Standard,334,TRUE,1,1,1
AST-4619,Fuel Injection Sensor,Power Systems,TX-WH4,244,134,53,150,16,15,Quatz,533,2024-07-06,15,No,0,2025-04-17,SAFE,1900-09-26,LOW,UNDERORDERED,7,High,130113,9,Standard,283,FALSE,0,1,0
AST-0142,Fuel Injection Sensor,Structural,FLT-WH3,61,147,36,139,17,23,Jabbersphere,1404,2024-04-01,4,Yes,139,2025-04-25,LOW,1900-12-31,HIGH,UNDERORDERED,-5,High,85618,8,High Risk,379,FALSE,1,1,0
AST-0401,Composite Tank Latch,Structural,FLT-WH3,178,67,40,176,7,14,Zoombeat,977,2024-11-23,25,No,0,2025-04-16,SAFE,1900-05-09,LOW,OK,16,Medium,173865,25,Standard,143,FALSE,0,1,0
AST-4684,Orbital Thruster Valve,Navigation,FLT-WH3,1,101,46,66,12,14,Oyope,357,2024-10-16,0,Yes,66,2025-04-16,CRITICAL,1900-06-16,HIGH,UNDERORDERED,-8,Medium,357,6,Standard,181,FALSE,1,0,0
AST-4352,Microgravity Gyro Axis,Structural,ORB-WH2,239,149,62,51,2,19,Buzzshare,476,2025-01-18,120,No,0,2025-04-21,SAFE,1900-03-14,LOW,OK,45,Low,113644,26,Standard,87,FALSE,0,1,0
AST-9000,Wing Panel Fastener,Ground Support,ORB-WH2,193,77,41,92,16,27,Vidoo,381,2024-10-25,12,No,0,2025-04-29,SAFE,1900-06-07,LOW,UNDERORDERED,7,High,73545,6,High Risk,172,FALSE,0,1,0
AST-8310,Orbital Thruster Valve,Payload Bay,FLT-WH3,220,53,29,94,20,17,Voomm,1309,2024-05-04,11,No,0,2025-04-19,SAFE,1900-11-28,LOW,UNDERORDERED,8,High,288028,5,Standard,346,FALSE,0,1,0
AST-0751,Flight Control Harness,Payload Bay,TX-WH4,119,104,29,198,14,17,Fivespan,1095,2024-05-14,8,No,0,2025-04-19,SAFE,1900-11-18,LOW,UNDERORDERED,1,Medium,130316,14,Standard,336,FALSE,0,1,0
AST-9717,Wing Panel Fastener,Thermal,ORB-WH2,48,67,65,100,4,26,Ntags,1264,2024-10-22,12,Yes,100,2025-04-28,SAFE,1900-06-10,LOW,UNDERORDERED,-5,Low,60696,25,High Risk,175,FALSE,1,1,0
AST-7901,Pressurized Cabin Ring,Power Systems,HQ-WH1,116,96,26,174,3,27,Cogilith,1172,2024-09-21,39,No,0,2025-04-29,SAFE,1900-07-11,LOW,OK,7,Low,135911,58,High Risk,206,FALSE,0,1,0
AST-7150,Pressurized Cabin Ring,Flight Control,AZ-WH5,247,55,42,61,6,15,Wikido,625,2025-01-17,41,No,0,2025-04-17,SAFE,1900-03-15,LOW,UNDERORDERED,32,Low,154353,10,Standard,88,FALSE,0,1,0
AST-0802,Aerofoil Bracket,Navigation,HQ-WH1,42,62,53,152,9,18,Photolist,341,2025-01-17,5,Yes,152,2025-04-20,LOW,1900-03-15,HIGH,UNDERORDERED,-2,Medium,14336,17,Standard,88,FALSE,1,1,0
AST-4557,Payload Release Clamp,Propulsion,ORB-WH2,161,80,54,166,11,10,Oba,1248,2024-09-24,15,No,0,2025-04-12,SAFE,1900-07-08,LOW,OK,7,Medium,200923,15,Standard,203,TRUE,0,1,1
AST-9102,Gyroscopic Stabilizer,Flight Control,TX-WH4,62,110,47,131,12,7,Flashpoint,1396,2024-05-07,5,Yes,131,2025-04-09,LOW,1900-11-25,LOW,OK,-4,Medium,86570,11,Standard,343,TRUE,1,1,1
AST-6693,Flight Control Harness,Payload Bay,TX-WH4,207,71,37,66,18,21,Divavu,1306,2024-04-10,12,No,0,2025-04-23,SAFE,1900-12-22,LOW,UNDERORDERED,8,High,270439,4,High Risk,370,FALSE,0,1,0
AST-2077,Radiation Shielding Unit,Navigation,FLT-WH3,145,123,31,178,8,30,Meevee,1017,2024-04-19,18,No,0,2025-05-02,SAFE,1900-12-13,LOW,UNDERORDERED,3,Medium,147436,22,High Risk,361,FALSE,0,1,0
AST-5515,Atmospheric Regulator Coil,Power Systems,ORB-WH2,148,135,42,172,11,29,Yakidoo,574,2025-01-19,13,No,0,2025-05-01,SAFE,1900-03-13,LOW,UNDERORDERED,1,Medium,84976,16,High Risk,86,FALSE,0,1,0
AST-5191,Navigation Core Processor,Propulsion,AZ-WH5,103,113,44,129,12,7,Yamia,969,2024-07-29,9,Yes,129,2025-04-09,SAFE,1900-09-03,LOW,OK,-1,Medium,99761,11,Standard,260,TRUE,1,1,1
AST-0120,Atmospheric Regulator Coil,Power Systems,FLT-WH3,202,50,31,98,3,18,Meembee,894,2025-02-18,67,No,0,2025-04-20,SAFE,1900-02-12,LOW,OK,51,Low,180647,33,Standard,56,FALSE,0,1,0
AST-6228,Radiation Shielding Unit,Payload Bay,ORB-WH2,169,123,71,169,6,10,Quinu,535,2025-02-10,28,No,0,2025-04-12,SAFE,1900-02-20,LOW,OK,8,Low,90390,28,Standard,64,TRUE,0,1,1
AST-9809,Gyroscopic Stabilizer,Power Systems,AZ-WH5,134,86,74,131,10,13,Blogtag,818,2024-12-15,13,No,0,2025-04-15,SAFE,1900-04-17,LOW,OK,5,Medium,109576,13,Standard,121,FALSE,0,1,0
AST-3190,Navigation Core Processor,Guidance,HQ-WH1,110,69,46,163,20,13,Skyble,629,2025-03-10,6,No,0,2025-04-15,LOW,1900-01-23,LOW,UNDERORDERED,2,High,69164,8,Standard,36,FALSE,0,1,0
AST-9320,Gyroscopic Stabilizer,Thermal,TX-WH4,4,100,73,183,17,26,Twitternation,730,2024-05-27,0,Yes,183,2025-04-28,CRITICAL,1900-11-05,HIGH,UNDERORDERED,-6,High,2921,11,High Risk,323,FALSE,1,0,0
AST-9950,Radiation Shielding Unit,Structural,FLT-WH3,124,149,39,138,7,25,Gigashots,709,2024-12-08,18,Yes,138,2025-04-27,SAFE,1900-04-24,LOW,UNDERORDERED,-4,Medium,87947,20,High Risk,128,FALSE,1,1,0
AST-9085,Payload Release Clamp,Structural,HQ-WH1,44,149,73,68,12,21,Skynoodle,981,2024-08-19,4,Yes,68,2025-04-23,LOW,1900-08-13,HIGH,UNDERORDERED,-9,Medium,43181,6,High Risk,239,FALSE,1,1,0
AST-2643,Payload Release Clamp,Propulsion,TX-WH4,84,123,44,135,7,12,Devify,835,2024-11-11,12,Yes,135,2025-04-14,SAFE,1900-05-21,LOW,OK,-6,Medium,70128,19,Standard,155,TRUE,1,1,1
AST-6539,Flight Control Harness,Avionics,TX-WH4,189,144,63,161,7,11,Mymm,984,2024-08-22,27,No,0,2025-04-13,SAFE,1900-08-10,LOW,OK,6,Medium,186038,23,Standard,236,TRUE,0,1,1
AST-0282,Aerofoil Bracket,Navigation,HQ-WH1,45,81,60,113,12,10,Bubblemix,1227,2024-10-14,4,Yes,113,2025-04-12,LOW,1900-06-18,HIGH,UNDERORDERED,-3,Medium,55203,9,Standard,183,TRUE,1,1,1
AST-2605,Fuel Injection Sensor,Flight Control,AZ-WH5,120,51,48,149,14,7,Flashpoint,758,2024-09-06,9,No,0,2025-04-09,SAFE,1900-07-26,LOW,OK,5,Medium,90905,11,Standard,221,TRUE,0,1,1
AST-4072,Composite Tank Latch,Structural,TX-WH4,47,135,71,64,1,30,Feedspan,1215,2024-05-29,47,Yes,64,2025-05-02,SAFE,1900-11-03,LOW,OK,-88,Low,57085,64,High Risk,321,FALSE,1,1,0
AST-9252,Microgravity Gyro Axis,Guidance,AZ-WH5,7,132,45,160,13,24,Yodo,1058,2025-02-17,1,Yes,160,2025-04-26,CRITICAL,1900-02-13,HIGH,UNDERORDERED,-10,Medium,7408,12,High Risk,57,FALSE,1,1,0
AST-6963,Flight Control Harness,Avionics,FLT-WH3,106,50,45,171,2,5,Devpoint,963,2024-12-11,53,No,0,2025-04-07,SAFE,1900-04-21,LOW,OK,28,Low,102071,86,Standard,125,TRUE,0,1,1
AST-4504,Radiation Shielding Unit,Ground Support,ORB-WH2,196,148,57,140,10,16,Jamia,987,2024-05-26,20,No,0,2025-04-18,SAFE,1900-11-06,LOW,UNDERORDERED,5,Medium,193517,14,Standard,324,FALSE,0,1,0
AST-4047,Radiation Shielding Unit,Power Systems,HQ-WH1,104,50,48,70,2,15,Youspan,1313,2024-12-18,52,No,0,2025-04-17,SAFE,1900-04-14,LOW,OK,27,Low,136505,35,Standard,118,FALSE,0,1,0
AST-7119,Flight Control Harness,Propulsion,ORB-WH2,74,117,69,174,10,15,Wikido,1164,2025-01-04,7,Yes,174,2025-04-17,SAFE,1900-03-28,LOW,OK,-4,Medium,86100,17,Standard,101,FALSE,1,1,0
AST-8601,Radiation Shielding Unit,Structural,HQ-WH1,80,64,63,181,16,18,Zoombox,299,2025-02-03,5,No,0,2025-04-20,LOW,1900-02-27,LOW,UNDERORDERED,1,High,23958,11,Standard,71,FALSE,0,1,0
AST-7315,Fuel Injection Sensor,Propulsion,AZ-WH5,241,114,60,67,5,16,Zazio,631,2024-04-10,48,No,0,2025-04-18,SAFE,1900-12-22,LOW,UNDERORDERED,25,Low,152146,13,Standard,370,FALSE,0,1,0
AST-4300,Aerofoil Bracket,Power Systems,ORB-WH2,199,130,33,77,2,15,Dabvine,887,2024-07-07,100,No,0,2025-04-17,SAFE,1900-09-25,LOW,OK,34,Low,176453,38,Standard,282,FALSE,0,1,0
AST-7906,Navigation Core Processor,Power Systems,HQ-WH1,106,146,67,93,20,25,Camido,1420,2025-03-26,5,Yes,93,2025-04-27,LOW,1900-01-07,LOW,UNDERORDERED,-2,High,150500,5,High Risk,20,FALSE,1,1,0
AST-4507,Atmospheric Regulator Coil,Thermal,TX-WH4,226,147,68,155,16,13,Ainyx,311,2024-11-20,14,No,0,2025-04-15,SAFE,1900-05-12,LOW,UNDERORDERED,5,High,70327,10,Standard,146,FALSE,0,1,0
AST-6023,Flight Control Harness,Guidance,ORB-WH2,110,66,42,166,10,23,Realpoint,1270,2025-01-13,11,No,0,2025-04-25,SAFE,1900-03-19,LOW,UNDERORDERED,4,Medium,139702,17,High Risk,92,FALSE,0,1,0
AST-1723,Radiation Shielding Unit,Thermal,HQ-WH1,231,107,46,184,13,12,Youfeed,371,2025-01-11,18,No,0,2025-04-14,SAFE,1900-03-21,LOW,OK,10,Medium,85786,14,Standard,94,TRUE,0,1,1
AST-3319,Navigation Core Processor,Guidance,FLT-WH3,223,55,69,180,13,11,Podcat,885,2024-06-08,17,No,0,2025-04-13,SAFE,1900-10-24,LOW,OK,13,Medium,197259,14,Standard,311,TRUE,0,1,1
AST-5670,Composite Tank Latch,Thermal,AZ-WH5,162,121,49,87,16,24,Skiba,538,2024-10-08,10,No,0,2025-04-26,SAFE,1900-06-24,LOW,UNDERORDERED,3,High,87166,5,High Risk,189,FALSE,0,1,0
AST-6836,Thermal Coupler,Thermal,AZ-WH5,236,68,67,158,13,8,Oyoba,1098,2024-09-18,18,No,0,2025-04-10,SAFE,1900-07-14,LOW,OK,13,Medium,259142,12,Standard,209,TRUE,0,1,1
AST-5747,Fuel Injection Sensor,Structural,TX-WH4,210,57,44,68,14,11,Fadeo,1077,2025-03-27,15,No,0,2025-04-13,SAFE,1900-01-06,LOW,UNDERORDERED,11,Medium,226090,5,Standard,19,TRUE,0,1,1
AST-3115,Flight Control Harness,Power Systems,AZ-WH5,45,66,57,173,1,21,Livefish,917,2024-07-01,45,Yes,173,2025-04-23,SAFE,1900-10-01,LOW,OK,-21,Low,41286,173,High Risk,288,FALSE,1,1,0
AST-5002,Pressurized Cabin Ring,Navigation,AZ-WH5,6,78,67,110,17,7,DabZ,1057,2024-10-19,0,Yes,110,2025-04-09,CRITICAL,1900-06-13,HIGH,UNDERORDERED,-4,High,6340,6,Standard,178,TRUE,1,0,1
AST-0604,Thermal Coupler,Payload Bay,TX-WH4,242,147,43,121,20,26,Blogtag,1451,2025-03-06,12,No,0,2025-04-28,SAFE,1900-01-27,LOW,UNDERORDERED,5,High,351161,6,High Risk,40,FALSE,0,1,0
AST-2670,Wing Panel Fastener,Propulsion,AZ-WH5,191,120,29,122,13,19,Quinu,767,2024-05-30,15,No,0,2025-04-21,SAFE,1900-11-02,LOW,UNDERORDERED,5,Medium,146407,9,Standard,320,FALSE,0,1,0
AST-0139,Pressurized Cabin Ring,Ground Support,FLT-WH3,167,114,25,172,17,19,Fivespan,878,2024-10-08,10,No,0,2025-04-21,SAFE,1900-06-24,LOW,UNDERORDERED,3,High,146549,10,Standard,189,FALSE,0,1,0
AST-3877,Microgravity Gyro Axis,Thermal,FLT-WH3,42,139,67,73,20,21,Oyonder,1387,2024-11-03,2,Yes,73,2025-04-23,CRITICAL,1900-05-29,HIGH,UNDERORDERED,-5,High,58245,4,High Risk,163,FALSE,1,1,0
AST-7522,Atmospheric Regulator Coil,Ground Support,HQ-WH1,0,142,74,188,15,22,Tavu,948,2025-02-11,0,Yes,188,2025-04-24,CRITICAL,1900-02-19,HIGH,UNDERORDERED,-9,High,0,13,High Risk,63,FALSE,1,0,0
AST-2057,Pressurized Cabin Ring,Ground Support,HQ-WH1,231,62,43,65,8,14,Riffwire,1151,2024-08-07,29,No,0,2025-04-16,SAFE,1900-08-25,LOW,UNDERORDERED,21,Medium,265980,8,Standard,251,FALSE,0,1,0
AST-7964,Orbital Thruster Valve,Payload Bay,HQ-WH1,130,89,37,91,10,20,Twitterwire,1295,2024-12-13,13,No,0,2025-04-22,SAFE,1900-04-19,LOW,UNDERORDERED,4,Medium,168307,9,Standard,123,FALSE,0,1,0
AST-5409,Composite Tank Latch,Power Systems,AZ-WH5,219,82,32,77,10,15,Tagpad,733,2024-11-27,22,No,0,2025-04-17,SAFE,1900-05-05,LOW,UNDERORDERED,14,Medium,160523,8,Standard,139,FALSE,0,1,0
